search term,sex or gender,place of birth,occupation,country of residence,religion,voice_type,ethnic group,native language,age,filename
KATY+PERRY,female,Santa Barbara,singer,United States of America,,contralto,English American,English,33.0,"Katy Perry speech at Human Rights Campaign (Mar. 18, 2017)"
Justin+Bieber,male,London,singer-songwriter,Canada,,tenor,,English,23.0,Roast of Justin Bieber - Justin Bieber - Let's Get Serious
Taylor+Swift,female,Reading,singer-songwriter,United States of America,,mezzo-soprano,,,28.0,Taylor Swift | Album of the Year | 58th GRAMMYs
Rihanna,female,Saint Michael,singer,Barbados,Christianity,mezzo-soprano,,,29.0,Rihanna at Harvard Receiving their 2017 Humanitarian of the Year Award.
Justin+Timberlake,male,Memphis,actor,United States of America,,contratenor,,,36.0,Justin Timberlake Innovator Award Acceptance Speech @ 2015 iHeartRadio Music Awards
Ellen+DeGeneres,female,Metairie,actor,United States of America,,,white people,,59.0,"In case you missed my Tulane speech, watch it here!"
Britney+Spears,female,McComb,singer,United States of America,,soprano,,,36.0,Britney Spears Acceptance Speech for Pop Artist @ PCA 2014
Cristiano+Ronaldo,male,Funchal,association football player,Portugal,Catholicism,,Portuguese people,Portuguese,32.0,Cristiano Ronaldo ● When A Man Gets Emotional ● Interviews & Speeches
Kim+Kardashian+West,female,Los Angeles,fashion designer,United States of America,Catholicism,,Armenian American,,37.0,Kim Kardashian West Speech at Variety's Power of Women
Shakira,female,Barranquilla,composer,Colombia,Catholic Church,contralto,,Spanish,40.0,Shakira's Speech at World Economic Forum 2017
Selena+Gomez,female,Texas,singer,United States of America,,mezzo-soprano,,,25.0,Selena Gomez's AMA Heartfelt Acceptance Speech 2016
Jennifer+Lopez,female,New York City,film actor,United States of America,,mezzo-soprano,,,48.0,Power of Women: Jennifer Lopez on  Lopez Family Foundation
Ariana+Grande,female,Boca Raton,singer,United States of America,,soprano,,,24.0,Ariana Grande AMAs 2016 acceptance speech Artist Of The Year (Legendado)
Demi+Lovato,female,Albuquerque,actor,United States of America,,,Italian American,,25.0,Demi Lovato's speech at the National Alliance of Mental Illness - Sept. 4th
jimmy+fallon,male,New York City,actor,United States of America,,,,,43.0,Jimmy Fallon Addresses the Events in Charlottesville
Oprah+Winfrey,female,Kosciusko,film actor,United States of America,,,African Americans,,63.0,Oprah Winfrey Harvard Commencement speech | Harvard Commencement 2013
P!nk,female,Doylestown,actor,United States of America,,contralto,,,38.0,P!nk Accepts the 'Michael Jackson Video Vanguard Award' | 2017 VMAs | MTV
Drizzy,male,Toronto,actor,Canada,,,,,31.0,Drizzy Making Speech At Canada Day 150
Bill+Gates,male,Seattle,entrepreneur,United States of America,,,Scotch-Irish American,,62.0,Bill Gates Speech at Harvard (part 1)
LeBron+James,male,Akron,basketball player,United States of America,,,African Americans,,33.0,"FNN: Lebron James Gives EMOTIONAL, Expletive-Filled Speech at Victory Celebration in Cleveland"
Bruno+Mars,male,Honolulu,singer,United States of America,,tenor,,English,32.0,Bruno Mars' Inspiring Speech subtitulado español
Kaka,male,"Gama, Federal District",association football player,Brazil,,,,,35.0,KAKA Last Chevrolet Apsara Awards 2012 Speech.
Adele,female,Tottenham,singer-songwriter,United Kingdom,,mezzo-soprano,,,29.0,Adele Wins Album Of The Year | Acceptance Speech | 59th GRAMMYs
Niall+Horan,male,Mullingar,singer,Ireland,,,,,24.0,Niall Horan's emotional speech during One Love Manchester.
Miley+Ray+Cyrus,female,Franklin,singer,United States of America,,mezzo-soprano,,,25.0,Miley Cyrus Gives Powerful Speech At AmfAR Inspiration Gala | MTV News
Alicia+Keys,female,New York City,film actor,United States of America,,contralto,African Americans,,36.0,Alicia Keys Emotional Speech | 2016 Video Music Awards | MTV
Kevin+Hart,male,North Philadelphia,actor,United States of America,,,African Americans,,38.0,KEVIN HART WINS 2017 PEOPLES CHOICE AWARD FAVORITE COMEDIC ACTOR THE ROCK FLIPS HIM OFF AT END
Pitbull,male,Miami,rapper,United States of America,,,Cuban American,,36.0,Pitbull motivational speech
Louis+Tomlinson,male,Doncaster,singer,United Kingdom,,,,,26.0,One Direction Louis Tomlinson's Speech 08.06.2014
NICKI+MINAJ,female,Port of Spain,composer,Trinidad and Tobago,Christianity,mezzo-soprano,African Americans,,35.0,Nicki Minaj gives an amazing speech while being honored by Fergie at the #FLAs2017
Neymar+Jr,male,Mogi das Cruzes,association football player,Brazil,,,,Brazilian Portuguese,25.0,Emotional Farewell Message from Neymar Jr to Barcelona 😭😭😭
Marshall+Mathers,male,St. Joseph,rapper,United States of America,,,,,45.0,Eminem - Campaign Speech
Emma+Watson,female,Paris,actor,United Kingdom,,,,,27.0,Emma Watson at the HeForShe Campaign 2014 - Official UN Video
Avril+Lavigne,female,Belleville,singer-songwriter,Canada,Christianity,contralto,English Canadian,,33.0,Avril Lavigne - Winning single and album of the year @ Juno Awards 24/04/2003
Neil+Patrick+Harris,male,Albuquerque,television actor,United States of America,,,,,44.0,The People's Choice for Favorite TV Comedy Actor is Neil Patrick Harris
daniel+tosh,male,Boppard,stand-up comedian,United States of America,,,,,42.0,Daniel Tosh at UCF 1 of 2
David+Guetta,male,Paris,disc jockey,France,,,,,50.0,"David Guetta Talks Party Drugs, Gives Advice To New DJs | Larry King Now | Ora.TV"
Conan+O'Brien,male,Brookline,television presenter,United States of America,,,,,54.0,Conan O'Brien's 2011 Dartmouth College Commencement Address
ashton+kutcher,male,Cedar Rapids,television actor,United States of America,,,,,39.0,Ashton Kutcher Speech - Teen Choice Awards (HQ)
Khloé,female,Los Angeles,actor,United States of America,,,Armenian American,,33.0,Khloe Banned From Giving Speech at Kim & Kanye’s Wedding
Kourtney+Kardashian,female,Beverly Hills,actor,United States of America,,,Armenian American,,38.0,Glamour Awards: Kourtney Kardashian shrugs off Justin Bieber question
zayn,male,Bradford,singer,United Kingdom,,tenor,,,24.0,Zayn Malik thanks One Direction in acceptance speech (FULL)
Mariah+Carey,female,Huntington,actor,United States of America,,soprano,African Americans,,47.0,Mariah Carey's best speech so far
Ed+Sheeran,male,Halifax,singer-songwriter,United Kingdom,,tenor,,,26.0,"Ed Sheeran full speech ""American Stuttering Institute Gala"" 2015"
Christina+Aguilera,female,New York City,singer,United States of America,,soprano,,,37.0,Christina Aguilera's Muhammad Ali Humanitarian of the Year Acceptance
Jim+Carrey,male,Newmarket,actor,United States of America,,,,,55.0,"Full Speech: Jim Carrey's Commencement Address at the 2014 MUM Graduation  (EN, FR, ES, RU, GR,...)"
KANYE+WEST,male,Atlanta,singer,United States of America,,,,,40.0,Kanye West's Moment | 2016 Video Music Awards | MTV
Chris+Brown,male,Tappahannock,actor,United States of America,,tenor,African Americans,,28.0,Chris Brown speech at Tidal Pop Up Show 2017
Aamir+Khan,male,Mumbai,actor,India,Islam,,,,52.0,Speech by Amir Khan
Salman+Khan,male,Indore,film actor,India,,,,,52.0,Salman Khan's FUNNIEST Speech Where He Could'nt Stop Laughing At All
AGNEZ+MO,female,Jakarta,singer,Indonesia,Christianity,,,,31.0,Global Youth Forum Bali 2012- Agnes Monica
Beyoncé+Knowles,female,Houston,record producer,United States of America,,soprano,African Americans,,36.0,CFDA Awards Fashion Icon Acceptance Speech
Blake+Shelton,male,Ada,musician,United States of America,,,,,41.0,"Blake Shelton accepts The People's Choice award for ""Favorite Album"""
Ryan+Seacrest,male,Dunwoody,television presenter,United States of America,,,,,43.0,Ryan Seacrest Commencement Address and Honorary Degree
Ivete+Sangalo,female,Juazeiro,singer,Brazil,,contralto,,,52.0,Comissária Ivete Sangalo no vôo da TAM SPEECH
Leonardo+DiCaprio,male,Los Angeles,actor,United States of America,Catholicism,,German American,English,43.0,Oscars 2016 Leonardo DiCaprio Wins best Actor - Speech 2016 VOSTFR [HD] QUALITY
Paris+Hilton,female,New York City,actor,United States of America,,,,,36.0,The Smart Paris Hilton -
will.i.am,male,East Los Angeles,singer-songwriter,United States of America,,,,,42.0,will.i.am Fireside Chat with Marc Benioff: Connections 2014
Kendall+Jenner,female,Los Angeles,socialite,United States of America,,,,,22.0,Kendall Jenner Billboard Awards One Direction Fail
Tyra+Banks,female,Inglewood,film actor,United States of America,,,African Americans,,44.0,Tyra Banks yells at girl
