"Katy Perry speech at Human Rights Campaign (Mar. 18, 2017)",CBjN4DgDLCc,KATY+PERRY+Speech
Roast of Justin Bieber - Justin Bieber - Let's Get Serious,egXDTfOHcPE,Justin+Bieber+Speech
Taylor Swift | Album of the Year | 58th GRAMMYs,dMCAEUb0h34,Taylor+Swift+Speech
Rihanna at Harvard Receiving their 2017 Humanitarian of the Year Award.,9tshoAW73wc,Rihanna+Speech
Countess of Wessex Speech,OZEcvf2BRuk,The+Countess+Speech
Justin Timberlake Innovator Award Acceptance Speech @ 2015 iHeartRadio Music Awards,HuW2CPVSCMc,Justin+Timberlake+Speech
"In case you missed my Tulane speech, watch it here!",M6pPBqfrAnI,Ellen+DeGeneres+Speech
Britney Spears Acceptance Speech for Pop Artist @ PCA 2014,f7cFyGD8_XQ,Britney+Spears+Speech
Cristiano Ronaldo ● When A Man Gets Emotional ● Interviews & Speeches,bfQUsmUDya4,Cristiano+Ronaldo+Speech
Kim Kardashian West Speech at Variety's Power of Women,oBACqYq9CtI,Kim+Kardashian+West+Speech
"Katy Perry speech at Human Rights Campaign (Mar. 18, 2017)",CBjN4DgDLCc,KATY+PERRY+Speech
Roast of Justin Bieber - Justin Bieber - Let's Get Serious,egXDTfOHcPE,Justin+Bieber+Speech
Taylor Swift | Album of the Year | 58th GRAMMYs,dMCAEUb0h34,Taylor+Swift+Speech
Rihanna at Harvard Receiving their 2017 Humanitarian of the Year Award.,9tshoAW73wc,Rihanna+Speech
Countess of Wessex Speech,OZEcvf2BRuk,The+Countess+Speech
Justin Timberlake Innovator Award Acceptance Speech @ 2015 iHeartRadio Music Awards,HuW2CPVSCMc,Justin+Timberlake+Speech
"In case you missed my Tulane speech, watch it here!",M6pPBqfrAnI,Ellen+DeGeneres+Speech
Britney Spears Acceptance Speech for Pop Artist @ PCA 2014,f7cFyGD8_XQ,Britney+Spears+Speech
Cristiano Ronaldo ● When A Man Gets Emotional ● Interviews & Speeches,bfQUsmUDya4,Cristiano+Ronaldo+Speech
Kim Kardashian West Speech at Variety's Power of Women,oBACqYq9CtI,Kim+Kardashian+West+Speech
Shakira's Speech at World Economic Forum 2017,j1eVkv2zOkU,Shakira+Speech
Selena Gomez's AMA Heartfelt Acceptance Speech 2016,kSzv-lDTVhU,Selena+Gomez+Speech
Power of Women: Jennifer Lopez on  Lopez Family Foundation,9dbxRsR69Rg,Jennifer+Lopez+Speech
Ariana Grande AMAs 2016 acceptance speech Artist Of The Year (Legendado),8m4UMm8a6ms,Ariana+Grande+Speech
Demi Lovato's speech at the National Alliance of Mental Illness - Sept. 4th,H72beAG4-PI,Demi+Lovato+Speech
Jimmy Fallon Addresses the Events in Charlottesville,E9TJsw67OmE,jimmy+fallon+Speech
Oprah Winfrey Harvard Commencement speech | Harvard Commencement 2013,GMWFieBGR7c,Oprah+Winfrey+Speech
P!nk Accepts the 'Michael Jackson Video Vanguard Award' | 2017 VMAs | MTV,W_gA5vkJJc4,P!nk+Speech
Drizzy Making Speech At Canada Day 150,X71QfKSBEWE,Drizzy+Speech
"Harry Styles emotional speech ""Straight or Gay I love you all"" at Stockholm,Sweden November 5",1I3gpGAE-fw,Harry+Styles.+Speech
One Direction win BRITs Global Success Award | BRITs Acceptance Speeches,bMCqcZ1eXYQ,One+Direction+Speech
Bill Gates Speech at Harvard (part 1),AP5VIhbJwFs,Bill+Gates+Speech
"FNN: Lebron James Gives EMOTIONAL, Expletive-Filled Speech at Victory Celebration in Cleveland",PtsH3TlA--8,LeBron+James+Speech
Lil Wayne on Black Lives Matter | FULL INTERVIEW | Nightline,L6mBZSQdGCE,Lil+Wayne+WEEZY+F+Speech
Bruno Mars' Inspiring Speech subtitulado español,qa6XK0WXrx4,Bruno+Mars+Speech
KAKA Last Chevrolet Apsara Awards 2012 Speech.,iEy5s4AXz30,Kaka+Speech
Adele Wins Album Of The Year | Acceptance Speech | 59th GRAMMYs,ctuggqUSITM,Adele+Speech
Niall Horan's emotional speech during One Love Manchester.,v5tbxel1u6A,Niall+Horan+Speech
Miley Cyrus Gives Powerful Speech At AmfAR Inspiration Gala | MTV News,6k9TUguYQLg,Miley+Ray+Cyrus+Speech
Alicia Keys Emotional Speech | 2016 Video Music Awards | MTV,Jv5_VtOPpxg,Alicia+Keys+Speech
KEVIN HART WINS 2017 PEOPLES CHOICE AWARD FAVORITE COMEDIC ACTOR THE ROCK FLIPS HIM OFF AT END,LC8bsGgmjqQ,Kevin+Hart+Speech
David Cameron Speech At Wembley Staidum | Modi At Wembley | Mango News,SAVjrwY6Jsg,Cameron+Speech
Pitbull motivational speech,TVEtcD8fBo8,Pitbull+Speech
One Direction Beats Zayn For Video Of The Year & Liam Gives Surprise Speech At 2017 Brit Awards,ySZrshckxdE,Liam+Speech
One Direction Louis Tomlinson's Speech 08.06.2014,szN2W2mPVhQ,Louis+Tomlinson+Speech
Nicki Minaj gives an amazing speech while being honored by Fergie at the #FLAs2017,7zZA6y9W_rQ,NICKI+MINAJ+Speech
Emotional Farewell Message from Neymar Jr to Barcelona 😭😭😭,NyCrM9ztGl0,Neymar+Jr+Speech
Eminem - Campaign Speech,ZvqYabGI6HQ,Marshall+Mathers+Speech
Emma Watson at the HeForShe Campaign 2014 - Official UN Video,gkjW9PZBRfk,Emma+Watson+Speech
Avril Lavigne - Winning single and album of the year @ Juno Awards 24/04/2003,fYOEc_zBP40,Avril+Lavigne+Speech
The People's Choice for Favorite TV Comedy Actor is Neil Patrick Harris,wU7Q3Sf5D2U,Neil+Patrick+Harris+Speech
Daniel Tosh at UCF 1 of 2,7IPpIwMc-7E,daniel+tosh+Speech
"David Guetta Talks Party Drugs, Gives Advice To New DJs | Larry King Now | Ora.TV",OYtZYXcYeBY,David+Guetta+Speech
Conan O'Brien's 2011 Dartmouth College Commencement Address,KmDYXaaT9sA,Conan+O'Brien+Speech
Amitabh Bachchan's Most Inspiring SPEECH!,j7H9E62P9_A,Amitabh+Bachchan+Speech
Ashton Kutcher Speech - Teen Choice Awards (HQ),FNXwKGZHmDc,ashton+kutcher+Speech
Khloe Banned From Giving Speech at Kim & Kanye’s Wedding,T3pePU0tFo4,Khloé+Speech
Glamour Awards: Kourtney Kardashian shrugs off Justin Bieber question,sBvTj2-gELs,Kourtney+Kardashian+Speech
Zayn Malik thanks One Direction in acceptance speech (FULL),jU4jElN7R6c,zayn+Speech
"Shah Rukh Khan's Speech at DAIS GC2016, with Nita Ambani",1Kyw_HLk6hQ,Shah+Rukh+Khan+Speech
Coldplay - A Head Full Of Dreams (Charlie Chaplin Speech Intro) [Compilation AHFOD Latam Tour],g5SaHMpIxSU,Coldplay+Speech
Mariah Carey's best speech so far,PYEsBmrKVnI,Mariah+Carey+Speech
